'y-axis saved as y
'x,TrBiI4_pure_ground_exported.raw_1,Diff,Ycalc
7.76019838,607,10.528134,596.471866
7.78063369,566,-28.2546803,594.25468
7.80106901,593,0.96455291,592.035447
7.82150433,644,54.1857875,589.814213
7.84193964,574,-13.5910269,587.591027
7.86237496,586,0.634055203,585.365945
7.88281028,585,1.86097531,583.139025
7.90324559,573,-7.9103289,580.910329
7.92368091,559,-19.6799234,578.679923
7.94411623,581,4.55212224,576.447878
7.96455154,587,12.7857352,574.214265
7.98498686,545,-26.9791608,571.979161
8.00542218,599,29.2573551,569.742645
8.02585749,558,-9.50479935,567.504799
8.04629281,588,22.7342908,565.265709
8.06672813,596,32.9745378,563.025462
8.08716344,567,6.21585121,560.784149
8.10759876,542,-16.5418617,558.541862
8.12803407,553,-3.29869599,556.298696
8.14846939,535,-19.0547491,554.054749
8.16890471,563,11.1898794,551.810121
8.18934002,511,-38.5649117,549.564912
8.20977534,590,42.6807741,547.319226
8.23021066,574,28.9268317,545.073168
8.25064597,533,-9.82684553,542.826846
8.27108129,540,-0.580366051,540.580366
8.29151661,552,13.6661604,538.33384
8.31195192,531,-5.08737734,536.087377
8.33238724,561,27.1589083,533.841092
8.35282256,580,48.4049038,531.595096
8.37325787,572,42.6504939,529.349506
8.39369319,573,45.8955584,527.104442
8.41412851,547,22.1399546,524.860045
8.43456382,551,28.3834592,522.616541
8.45499914,551,30.6256533,520.374347
8.47543446,525,6.86578296,518.134217
8.49586977,524,8.10258195,515.897418
8.51630509,521,7.33401432,513.665986
8.5367404,569,57.5568806,511.443119
8.55717572,560,50.766185,509.233815
8.57761104,492,-15.0459084,507.045908
8.59804635,515,10.1081644,504.891836
8.61848167,521,18.2083427,502.791657
8.63891699,510,9.22150038,500.7785
8.6593523,537,38.090235,498.909765
8.67978762,498,0.703118686,497.296881
8.70022294,490,-6.1513673,496.151367
8.72065825,519,23.2292625,495.770737
8.74109357,553,56.6999314,496.300069
8.76152889,557,60.5433405,496.45666
8.7819642,566,70.2263874,495.773613
8.80239952,536,40.8319154,495.168085
8.82283484,584,88.9476236,495.052376
8.84327015,601,105.264246,495.735754
8.86370547,560,62.3430918,497.656908
8.88414079,533,31.7778482,501.222152
8.9045761,560,54.3547508,505.645249
8.92501142,532,20.7907147,511.209285
8.94544673,565,45.0447192,519.955281
8.96588205,590,56.0412115,533.958789
8.98631737,599,43.1184475,555.881552
9.00675268,629,39.4373478,589.562652
9.027188,688,47.3392572,640.660743
9.04762332,778,60.3100173,717.689983
9.06805863,847,13.2031084,833.796892
9.08849395,1083,73.1047213,1009.89528
9.10892927,1308,27.5096929,1280.49031
9.12936458,1735,29.7558056,1705.24419
9.1497999,2233,-149.952652,2382.95265
9.17023522,3055,-360.44149,3415.44149
9.19067053,4679,-31.910606,4710.91061
9.21110585,5887,388.410611,5498.58939
9.23154117,4652,113.291759,4538.70824
9.25197648,2634,-60.0743104,2694.07431
9.2724118,1302,-100.066344,1402.06634
9.29284712,826,-48.3876601,874.38766
9.31328243,615,-67.2820302,682.28203
9.33371775,599,4.17239101,594.827609
9.35415307,564,18.5417291,545.458271
9.37458838,534,20.0130427,513.986957
9.3950237,546,53.7539442,492.246056
9.41545901,477,0.697693009,476.302307
9.43589433,491,26.9580867,464.041913
9.45632965,446,-8.23275033,454.23275
9.47676496,471,24.8939419,446.106058
9.49720028,428,-11.1477348,439.147735
9.5176356,482,49.0226759,432.977324
9.53807091,416,-11.2545521,427.254552
9.55850623,435,13.3700738,421.629926
9.57894155,437,21.1761426,415.823857
9.59937686,447,36.7674383,410.232562
9.61981218,433,26.7904026,406.209597
9.6402475,386,-16.7449899,402.74499
9.66068281,401,1.94883572,399.051164
9.68111813,381,-13.8665593,394.866559
9.70155345,404,13.321025,390.678975
9.72198876,396,8.02571346,387.974287
9.74242408,399,13.0718286,385.928171
9.7628594,438,54.0256117,383.974388
9.78329471,401,18.9706472,382.029353
9.80373003,364,-16.0919552,380.091955
9.82416534,367,-11.1622329,378.162233
9.84460066,404,27.759753,376.240247
9.86503598,375,0.673942798,374.326057
9.88547129,347,-25.4197216,372.419722
9.90590661,378,7.47870329,370.521297
9.92634193,334,-34.6308378,368.630838
9.94677724,364,-2.74839855,366.748399
9.96721256,333,-31.8740311,364.874031
9.98764788,362,-1.00778612,363.007786
10.0080832,365,3.85028712,361.149713
10.0285185,342,-17.2998591,359.299859
10.0489538,348,-9.4582711,357.458271
10.0693891,362,6.37500635,355.624994
10.0898245,332,-21.8000701,353.80007
10.1102598,315,-36.9835423,351.983542
10.1306951,368,17.8245492,350.175451
10.1511304,366,17.6241655,348.375835
10.1715657,347,0.415269018,346.584731
10.192001,367,22.1978237,344.802176
10.2124364,355,11.9717948,343.028205
10.2328717,360,18.737149,341.262851
10.253307,302,-37.5061454,339.506145
10.2737423,320,-17.758119,337.758119
10.2941776,293,-43.0188008,336.018801
10.3146129,307,-27.2882184,334.288218
10.3350483,336,3.43360189,332.566398
10.3554836,327,-3.85336489,330.853365
10.3759189,289,-40.1491422,329.149142
10.3963542,318,-9.45375238,327.453752
10.4167895,314,-11.7672161,325.767216
10.4372248,284,-40.0895531,324.089553
10.4576602,324,1.57921869,322.420781
10.4780955,293,-27.7609178,320.760918
10.4985308,291,-28.1099781,319.109978
10.5189661,293,-24.4679764,317.467976
10.5394014,302,-13.8349259,315.834926
10.5598367,314,-0.210838189,314.210838
10.5802721,282,-30.5957238,312.595724
10.6007074,308,-2.98959197,310.989592
10.6211427,306,-3.39245068,309.392451
10.641578,268,-39.8043067,307.804307
10.6620133,273,-33.2251657,306.225166
10.6824486,296,-8.65503187,304.655032
10.702884,278,-25.0939085,303.093909
10.7233193,276,-25.5417976,301.541798
10.7437546,291,-8.99870004,299.9987
10.7641899,298,-0.464615455,298.464615
10.7846252,312,15.0604576,296.939542
10.8050605,278,-17.4234785,295.423478
10.8254959,258,-35.9164198,293.91642
10.8459312,257,-35.4183618,292.418362
10.8663665,289,-1.92929846,290.929298
10.8868018,298,8.550777,289.449223
10.9072371,255,-32.9781274,287.978127
10.9276724,283,-3.51600266,286.516003
10.9481078,256,-29.0628387,285.062839
10.9685431,287,3.38137541,283.618625
10.9889784,278,-4.18334815,282.183348
11.0094137,245,-35.7569964,280.756996
11.029849,274,-5.33955528,279.339555
11.0502843,263,-14.9310099,277.93101
11.0707197,272,-4.53134421,276.531344
11.091155,250,-25.1405415,275.140541
11.1115903,277,3.24141612,273.758584
11.1320256,268,-4.38545277,272.385453
11.1524609,259,-12.0211286,271.021129
11.1728962,239,-30.6655909,269.665591
11.1933316,268,-0.318818351,268.318818
11.2137669,281,14.0192111,266.980789
11.2342022,253,-12.6514795,265.651479
11.2546375,255,-9.33086632,264.330866
11.2750728,271,7.98107514,263.018925
11.2955081,220,-41.7156297,261.71563
11.3159434,263,2.57904539,260.420955
11.3363788,253,-6.13487274,259.134873
11.3568141,265,7.14264351,257.857356
11.3772494,253,-3.58837844,256.588378
11.3976847,233,-22.3279147,255.327915
11.41812,225,-29.0759538,254.075954
11.4385553,280,27.1674798,252.83252
11.4589907,251,-0.597714149,251.597714
11.479426,216,-34.3717717,250.371772
11.4998613,226,-23.1551664,249.155166
11.5202966,264,16.0511974,247.948803
11.5407319,234,-12.7544116,246.754412
11.5611672,264,18.4245225,245.575478
11.5816026,231,-13.4198306,244.419831
11.6020379,238,-5.30473135,243.304731
11.6224732,255,12.7452486,242.254751
11.6429085,220,-21.252561,241.252561
11.6633438,267,26.8090234,240.190977
11.6837791,237,-2.07737082,239.077371
11.7042145,239,1.02993403,237.970066
11.7246498,236,-0.876535969,236.876536
